name,display_name,address,category,logo,url
La Mécanique des Fluides,La Mécanique des Fluides,1 rue Riquet 31000 Toulouse,Concert Bar,mecanique_des_fluides.png,
Le Ravelin,Le Ravelin,6 place du Ravelin 31300 Toulouse,Concert Bar,le_ravelin.png,
Gloria,Gloria,4 rue Peyras 31000 Toulouse,Concert Bar,,
Dalidaark,Dalidaark,39 rue Réclusane 31300 Toulouse,Concert Bar,dalidaark.png,
Au Poêle de la bête,Au Poêle de la bête,56 rue d'Aubuisson 31000 Toulouse,Concert Bar,poele_de_la_bete.png,
Le Dada,Le Dada,27 avenue Honoré Serres 31000 Toulouse,Concert Bar,,
Skatepark Le Petit,Skatepark Le Petit,125 chemin du Sang de Serp 31200 Toulouse,Concert Bar,,
Radio FMR,Radio FMR,9 boulevard des Minimes 31200 Toulouse,Radio,radio_fmr.png,https://www.radiofmr.com/
Le Caméléon,Le Caméléon,19 rue Pont Saint Pierre 31300 Toulouse,Concert Bar,,
Bar Belfort,Bar Belfort,9 place Belfort 31000 Toulouse,Concert Bar,,
Pirouette,Pirouette,1 rue Marthe Varsi 31100 Toulouse,Concert Bar,,
Boudu pont,Boudu pont,1 rue de la République 31300 Toulouse,Concert Bar,,
Les Merles Moqueurs,Les Merles Moqueurs,8 allées Maurice Sarraut 31300 Toulouse,Concert Bar,,
Cacahuète,Cacahuète,21 place de l'Estrapade 31300 Toulouse,Concert Bar,,
L'Autan,L'Autan,58 boulevard d'Arcole 31000 Toulouse,Concert Bar,,
Labo Des Arts,Labo Des Arts,8 rue Clément 31500 Toulouse,Concert Bar,,
L'Engrenage,L'Engrenage,14 rue Louis Renault 31130 Balma,Concert Bar,,
Le Détroit,Le Détroit,3 avenue de Fondeyre 31200 Toulouse,Concert Bar,,
Little O'Clock,Little O'Clock,75 allée Jean Jaurès 31000 Toulouse,Concert Bar,,
Axis Music,Axis Music,7 impasse Boudeville 31100 Toulouse,Concert Bar,,
Axis Musique,Axis Music,7 impasse Boudeville 31100 Toulouse,Concert Bar,,
Chez Paul Asso,Chez Paul Asso,118 route de Narbonne 31400 Toulouse,Concert Bar,,
Studio du Cerisier,Studio du Cerisier,11 rue Descoins-Tinard 31100 Toulouse,Studio,,
Bistrot Ducoin,Bistrot Ducoin,40 rue du Général Jean Compans 31500 Toulouse,Concert Bar,bistrot_ducoin.jpg,
Le Cactus,Le Cactus,13 boulevard Lascrosses 31000 Toulouse,Concert Bar,,
The Petit London,The Petit London,7 rue Pierre-Paul Riquet 31000 Toulouse,Concert Bar,,
Le Poinçonneur,Le Poinçonneur,19bis rue du Faubourg Bonnefoy 31500 Toulouse,Concert Bar,,
L'atelier des Cheminots,L'atelier des Cheminots,3 rue des Cheminots 31200 Toulouse,Concert Bar,,
Le Winger,Le Winger,68 rue de Bayard 31000 Toulouse,Concert Bar,,
Face B Friperie,Face B Friperie,7 place Damloup 31000 Toulouse,Boutique,face_b.jpg,
Guitar Tech,Guitar Tech,50 grande rue Saint Nicolas 31300 Toulouse,Boutique,guitar_tech.png,
Le Laboratoire,Le Laboratoire,9 rue de la Bourse 31000 Toulouse,Record Shop,laboratoire.png,
Studio Swampland,Studio Swampland,1 rue Chabanon 31200 Toulouse,Studio,swampland.png,
Terres de Légendes,Terres de Légendes,44 rue Gambetta 31000 Toulouse,Boutique,terres_de_legendes.png,
Toulouse Reverberation,Toulouse Reverberation,,Merch/Print,toulouse_reverberation.png,
Vicious Circle,Vicious Circle,56 rue Gambetta 31000 Toulouse,Record Shop,vicious_circle.png,
La Cinémathèque de Toulouse,La Cinémathèque de Toulouse,69 rue du Taur 31000 Toulouse,Cinema,cinematheque.png,
American Cosmograph,American Cosmograph,24 rue Montardy 31000 Toulouse,Cinema,american_cosmograph.jpg,
Le 3 Rue Peyrolières,Le 3 Rue Peyrolières,3 rue Peyrolières 31000 Toulouse,Boutique,3_rue_peyroliere.png,
